,ticket_number,resolution,agentid,cpc,firstcontactresolution,fullresolutiontime,replytime,problem,ticketcreationdate,satisfaction,comment
0,13371,1.0,1412.0,3.0,0.0,7.0,239.0,Payment processing,,Good,eficient player mode
2,12480,1.0,1921.0,4.0,0.0,3.0,284.0,Item do not show,2021-05-27,Good,eficient item
5,15615,1.0,1377.0,2.0,0.0,29.0,1021.0,,2021-06-24,Bad,inefficient product
6,11106,1.0,1360.0,2.0,0.0,2.0,184.0,Item do not show,2021-06-15,Good,pleasant agent's communication
8,12483,1.0,1646.0,3.0,0.0,12.0,15.0,Wrong password,2021-08-20,Good,nicee resolution...
9,11027,1.0,1899.0,3.0,0.0,17.0,462.0,Payment processing,2021-06-02,Bad,lento ..... experiencia
11,13804,1.0,1754.0,2.0,,5.0,167.0,Wrong password,2021-07-26,Good,comportamiento del agente satisfactorio
12,13427,0.0,1438.0,1.0,1.0,2.0,694.0,Cheating,2021-05-16,Bad,Le comportement de l'agent inutile
13,14362,1.0,1585.0,5.0,0.0,6.0,274.0,Wrong password,2021-06-15,Good,I like resolution
14,14215,1.0,1936.0,1.0,1.0,12.0,97.0,Payment processing,2021-07-25,Good,agent précis
16,10781,1.0,1360.0,2.0,0.0,12.0,184.0,Compromited account,2021-06-04,Good,reliable service
17,10429,1.0,1341.0,3.0,0.0,2.0,159.0,Wrong password,2021-07-23,Good,Comportement des agents nice
18,10741,1.0,1427.0,1.0,1.0,6.0,237.0,Payment processing,2021-06-21,Good,pleasant player mode
21,13314,1.0,1754.0,5.0,0.0,3.0,112.0,Wrong password,,Good,wonderful delivery.
22,13935,1.0,1496.0,1.0,1.0,6.0,124.0,Wrong password,2021-07-20,Good,precise resolution...
24,10453,1.0,1857.0,3.0,0.0,9.0,679.0,Item do not show,2021-08-07,Bad,slow solution
26,10367,0.0,1663.0,1.0,1.0,2.0,66.0,Compromited account,2021-06-07,Good,wonderful website
27,13432,1.0,1411.0,1.0,1.0,5.0,184.0,Item do not show,2021-07-18,Good,efficient agent's communication
28,12492,1.0,1583.0,7.0,0.0,14.0,179.0,Payment processing,2021-07-28,Good,wonderful player mode
29,11646,1.0,1770.0,4.0,0.0,13.0,293.0,Item do not show,2021-06-15,Good,reliable agents behavior
32,10415,1.0,1377.0,3.0,0.0,30.0,196.0,Item do not show,2021-07-25,Bad,inefficient agent's behavior
34,14403,1.0,1426.0,1.0,1.0,12.0,174.0,Wrong password,2021-06-01,Good,great delivery!!
35,15668,1.0,1337.0,3.0,0.0,,250.0,Payment processing,2021-06-13,Good,merveilleux agent
37,13644,1.0,1806.0,4.0,,10.0,34.0,Payment processing,2021-07-27,Good,¡Me gusta el producto!
38,10251,1.0,1996.0,4.0,0.0,15.0,307.0,Wrong password,2021-06-29,Good,quick delivery.
39,13805,1.0,1384.0,4.0,0.0,5.0,951.0,Payment processing,2021-05-30,Bad,N / A
40,12701,1.0,1535.0,3.0,0.0,10.0,700.0,Item do not show,2021-06-25,Bad,inefficient agent
41,10290,0.0,1759.0,2.0,0.0,20.0,724.0,Cheating,2021-06-01,Bad,unreliable... agent`s behavior
42,14747,1.0,1390.0,4.0,0.0,17.0,641.0,Payment processing,2021-06-23,Bad,I don't like game
43,12835,0.0,1710.0,2.0,0.0,3.0,21.0,Compromited account,2021-08-09,Good,"well done, experience"
44,12779,1.0,1949.0,1.0,1.0,22.0,714.0,Wrong password,2021-07-31,Bad,unclear services
45,15221,1.0,1819.0,3.0,0.0,8.0,838.0,Item do not show,2021-07-07,Bad,N / A
46,11202,1.0,1571.0,1.0,1.0,,210.0,Wrong password,2021-07-02,Good,efficient delivery.
47,13583,1.0,1812.0,2.0,0.0,4.0,162.0,Payment processing,2021-07-16,Good,satisfactory resolution...
48,11274,1.0,1435.0,7.0,0.0,6.0,780.0,Payment processing,,Bad,I dont like agents communication
50,13596,1.0,1360.0,5.0,0.0,9.0,356.0,Wrong password,2021-05-19,Bad,resolución poco clara
51,13085,1.0,1899.0,1.0,1.0,7.0,196.0,Payment processing,2021-05-11,Good,services efficaces
53,15218,1.0,1746.0,4.0,0.0,11.0,163.0,Wrong password,2021-07-21,Good,Magnifique comportement des agents
54,10161,1.0,1377.0,2.0,0.0,5.0,,Payment processing,2021-07-01,Good,Produit sympae
55,15417,1.0,1531.0,2.0,0.0,21.0,670.0,Payment processing,2021-07-14,Bad,I do not like agent's behavior
56,13597,1.0,1571.0,4.0,0.0,5.0,475.0,Payment processing,2021-07-02,Good,satisfactory resolution
59,13567,1.0,1921.0,2.0,0.0,4.0,249.0,Item do not show,2021-07-05,Good,fantastic game
60,13655,1.0,1426.0,3.0,0.0,8.0,777.0,Wrong password,2021-07-11,Bad,useless item
61,11531,1.0,1337.0,2.0,0.0,15.0,431.0,Cheating,2021-05-27,Bad,Communication des agents inutiles
62,11819,1.0,1817.0,2.0,0.0,3.0,108.0,Compromited account,,Good,efficient agent`s communication
63,12661,0.0,1384.0,2.0,0.0,9.0,,Compromited account,2021-07-02,Good,"buena solución,"
65,13380,1.0,1646.0,4.0,0.0,3.0,803.0,Wrong password,2021-05-28,Bad,unreliable agent`s communication
69,12734,1.0,1857.0,1.0,,10.0,,Wrong password,2021-06-12,Good,"Bien hecho, agente"
71,15553,1.0,1819.0,6.0,,14.0,,Wrong password,,Bad,Comportamiento del agente desagradable
73,10897,0.0,1781.0,3.0,0.0,22.0,537.0,Payment processing,2021-06-10,Bad,confusing agent's communication
74,14690,1.0,1358.0,4.0,0.0,6.0,230.0,Payment processing,2021-07-21,Good,¡buen producto!
75,10718,1.0,1583.0,2.0,0.0,17.0,666.0,Cheating,2021-07-18,Bad,Le comportement de l'agent décevant
76,13985,1.0,1985.0,3.0,0.0,6.0,109.0,Wrong password,2021-05-11,Good,good experience
77,14118,1.0,1580.0,6.0,0.0,3.0,115.0,Payment processing,2021-06-26,Good,i like agents behavior
78,12612,1.0,1377.0,2.0,0.0,13.0,705.0,Payment processing,2021-05-15,Bad,bad agents communication
79,14097,0.0,1340.0,1.0,1.0,7.0,630.0,Cheating,2021-07-13,Bad,Comportement de l'agent dur
80,13866,1.0,1317.0,3.0,0.0,6.0,44.0,Wrong password,2021-08-23,Good,amazing! agent`s behavior
81,10309,1.0,1899.0,2.0,0.0,10.0,315.0,Payment processing,2021-07-07,Good,useful delivery
82,12872,1.0,1663.0,2.0,0.0,18.0,,Wrong password,,Bad,
84,15216,0.0,1936.0,4.0,0.0,17.0,436.0,Wrong password,2021-07-04,Bad,unclear agents communication
85,11890,1.0,1781.0,1.0,1.0,3.0,141.0,Item do not show,2021-06-21,Bad,useless item
