,ticket_number,resolution,agentid,cpc,firstcontactresolution,fullresolutiontime,replytime,problem,ticketcreationdate,satisfaction,comment
1,12525,,1532.0,7.0,0.0,3.0,504.0,Wrong password,,Offered,
3,14764,,1535.0,2.0,0.0,11.0,1008.0,Compromited account,2021-06-22,Offered,
4,14611,,1319.0,3.0,0.0,9.0,,,2021-07-05,Offered,N / A
7,13614,,1336.0,2.0,0.0,8.0,,Cheating,2021-05-21,Offered,
10,10334,,1519.0,,0.0,5.0,18.0,Item do not show,2021-07-02,Offered,
15,13990,,2019.0,2.0,0.0,5.0,202.0,,2021-08-14,Offered,
19,15282,,1531.0,,,2.0,282.0,Payment processing,2021-08-19,Offered,N / A
20,13672,,1949.0,5.0,0.0,9.0,30.0,Item do not show,2021-08-11,Offered,
23,10373,,1837.0,,0.0,2.0,99.0,Wrong password,2021-06-21,Offered,
25,15617,,2028.0,4.0,0.0,5.0,272.0,Item do not show,2021-06-01,Offered,
30,11513,,2028.0,,0.0,15.0,1082.0,Payment processing,2021-07-16,Offered,
31,12001,,1566.0,5.0,0.0,11.0,929.0,Wrong password,2021-06-07,Offered,
33,11672,,1585.0,2.0,,12.0,1033.0,Wrong password,2021-07-15,Offered,N / A
36,14604,,1548.0,1.0,1.0,12.0,779.0,Payment processing,2021-07-15,Offered,N / A
49,10512,,1571.0,4.0,0.0,3.0,188.0,Compromited account,2021-08-14,Offered,N / A
52,14804,,1519.0,3.0,0.0,15.0,312.0,Item do not show,2021-08-02,Offered,N / A
57,12043,,1337.0,4.0,0.0,15.0,674.0,Payment processing,2021-05-26,Offered,
58,15332,,1726.0,1.0,1.0,12.0,516.0,Cheating,2021-08-17,Offered,
64,10206,,1473.0,3.0,0.0,6.0,231.0,Payment processing,2021-05-26,Offered,N / A
66,11866,,1585.0,2.0,0.0,,,Wrong password,2021-07-16,Offered,N / A
67,10392,,1531.0,2.0,0.0,15.0,1014.0,Payment processing,,Offered,N / A
68,14810,,1806.0,3.0,0.0,22.0,386.0,Wrong password,2021-07-20,Offered,
70,14806,,1531.0,2.0,0.0,5.0,,Wrong password,2021-06-26,Offered,
72,12039,,1648.0,4.0,0.0,6.0,133.0,Item do not show,2021-08-18,Offered,
83,13862,,1656.0,2.0,0.0,7.0,670.0,Item do not show,2021-05-20,Offered,N / A
86,14673,,1580.0,,0.0,11.0,210.0,Payment processing,2021-05-11,Offered,
87,11466,,1656.0,5.0,0.0,10.0,50.0,Wrong password,2021-06-09,Offered,N / A
88,11249,,1812.0,2.0,0.0,5.0,252.0,Item do not show,2021-06-20,Offered,
96,13146,,1414.0,2.0,,7.0,435.0,Payment processing,2021-08-01,Offered,N / A
103,15446,,1648.0,,1.0,,386.0,Item do not show,2021-06-07,Offered,
105,14748,,2003.0,2.0,0.0,6.0,172.0,Cheating,2021-08-20,Offered,
106,15600,,1480.0,3.0,0.0,4.0,192.0,Item do not show,2021-05-29,Offered,
110,10911,,1473.0,3.0,0.0,4.0,213.0,Item do not show,2021-07-19,Offered,
113,11601,,1857.0,2.0,0.0,4.0,135.0,,2021-07-14,Offered,N / A
114,10426,,1926.0,1.0,1.0,7.0,145.0,Payment processing,2021-07-01,Offered,
117,14417,,1438.0,,0.0,3.0,174.0,Wrong password,,Offered,
125,11891,,1770.0,,1.0,6.0,,Compromited account,2021-06-27,Offered,N / A
131,12189,,1656.0,4.0,0.0,2.0,105.0,Item do not show,2021-07-21,Offered,
133,13774,,1438.0,4.0,0.0,9.0,75.0,,2021-06-05,Offered,
136,15412,,1414.0,2.0,0.0,10.0,488.0,Item do not show,2021-06-18,Offered,N / A
137,13318,,1390.0,2.0,0.0,16.0,392.0,Item do not show,2021-07-27,Offered,N / A
138,15117,,1812.0,,,11.0,718.0,Payment processing,2021-07-03,Offered,N / A
144,11928,,1666.0,2.0,0.0,4.0,38.0,Compromited account,2021-08-05,Offered,N / A
149,13381,,1384.0,3.0,0.0,,234.0,Wrong password,2021-08-21,Offered,
150,13501,,1899.0,2.0,0.0,3.0,657.0,Item do not show,2021-08-15,Offered,
166,11268,,1535.0,2.0,0.0,8.0,859.0,Cheating,2021-08-15,Offered,
172,10394,,2028.0,1.0,1.0,14.0,,Payment processing,2021-08-05,Offered,
173,11580,,1942.0,2.0,0.0,9.0,227.0,Wrong password,2021-08-16,Offered,N / A
178,14971,,1317.0,7.0,0.0,5.0,162.0,Wrong password,2021-06-05,Offered,
180,15423,,1921.0,1.0,1.0,10.0,71.0,Item do not show,2021-08-16,Offered,
182,10979,,1455.0,4.0,0.0,9.0,103.0,Payment processing,2021-06-17,Offered,
188,13719,,1695.0,3.0,0.0,21.0,557.0,Payment processing,2021-06-27,Offered,
189,14437,,1426.0,2.0,0.0,3.0,244.0,Wrong password,2021-05-12,Offered,
192,15290,,1857.0,,0.0,14.0,748.0,Item do not show,2021-07-11,Offered,
194,14857,,1806.0,5.0,0.0,,666.0,Wrong password,2021-06-03,Offered,
201,15197,,1427.0,,0.0,8.0,175.0,Wrong password,2021-05-25,Offered,N / A
205,11456,,1412.0,3.0,0.0,3.0,279.0,Wrong password,2021-08-01,Offered,
215,10547,,1337.0,4.0,0.0,2.0,154.0,Wrong password,2021-08-10,Offered,N / A
218,10209,,1358.0,1.0,1.0,6.0,333.0,Item do not show,2021-08-17,Offered,
219,15577,,1671.0,4.0,0.0,6.0,214.0,Cheating,2021-07-10,Offered,
221,12250,,1746.0,,0.0,9.0,181.0,Wrong password,,Offered,N / A
222,13069,,1566.0,1.0,1.0,,813.0,Compromited account,2021-06-02,Offered,
229,14283,,1412.0,2.0,0.0,11.0,21.0,Payment processing,2021-05-16,Offered,
237,10281,,1817.0,3.0,0.0,4.0,,,2021-07-03,Offered,
239,14846,,1926.0,2.0,0.0,15.0,,,2021-07-03,Offered,
245,13339,,1566.0,2.0,0.0,7.0,32.0,Wrong password,2021-06-19,Offered,
247,11336,,1477.0,,,12.0,200.0,Wrong password,2021-06-23,Offered,N / A
248,14508,,1359.0,,1.0,9.0,180.0,Wrong password,2021-08-08,Offered,
249,14771,,1921.0,2.0,0.0,,,Payment processing,2021-06-11,Offered,N / A
255,13334,,1519.0,3.0,0.0,14.0,,Wrong password,2021-07-25,Offered,N / A
259,10461,,1947.0,2.0,0.0,4.0,121.0,Payment processing,2021-06-11,Offered,
261,13007,,1583.0,2.0,0.0,,748.0,Wrong password,2021-08-16,Offered,
263,12409,,1350.0,,,7.0,721.0,Wrong password,2021-08-16,Offered,N / A
270,11407,,1532.0,4.0,0.0,2.0,54.0,Cheating,2021-08-01,Offered,
274,10620,,1377.0,4.0,0.0,10.0,,Cheating,2021-07-04,Offered,
275,12582,,1967.0,3.0,0.0,6.0,50.0,Wrong password,2021-06-24,Offered,
276,11438,,1967.0,,0.0,8.0,61.0,Payment processing,,Offered,
280,12847,,1531.0,4.0,0.0,3.0,383.0,Item do not show,2021-05-11,Offered,
293,14151,,1648.0,1.0,1.0,6.0,168.0,Payment processing,2021-08-19,Offered,
294,11190,,1663.0,3.0,0.0,11.0,747.0,Payment processing,2021-07-01,Offered,
295,13777,,1548.0,1.0,1.0,6.0,54.0,Payment processing,2021-07-29,Offered,N / A
296,15020,,1813.0,,,5.0,803.0,Item do not show,2021-05-19,Offered,N / A
299,12485,,1438.0,3.0,0.0,8.0,52.0,Payment processing,2021-08-22,Offered,
300,14296,,1363.0,2.0,0.0,16.0,808.0,Payment processing,,Offered,
302,11615,,1656.0,3.0,0.0,7.0,936.0,Cheating,2021-08-19,Offered,N / A
303,12692,,1317.0,6.0,0.0,12.0,735.0,Item do not show,2021-06-27,Offered,
312,10746,,1921.0,1.0,1.0,10.0,592.0,Item do not show,2021-07-01,Offered,
315,14717,,1496.0,5.0,0.0,17.0,434.0,Payment processing,2021-07-08,Offered,
316,11334,,1390.0,3.0,0.0,4.0,232.0,Item do not show,,Offered,N / A
319,10518,,1287.0,3.0,,7.0,207.0,Payment processing,2021-05-15,Offered,N / A
320,13592,,1350.0,2.0,0.0,4.0,221.0,,2021-06-22,Offered,
323,10477,,1692.0,2.0,,16.0,407.0,Payment processing,2021-06-11,Offered,N / A
326,13356,,1926.0,,0.0,,610.0,Payment processing,2021-06-13,Offered,N / A
329,11772,,1949.0,3.0,0.0,12.0,942.0,Payment processing,2021-06-28,Offered,
332,11089,,1754.0,1.0,,3.0,51.0,Item do not show,2021-08-23,Offered,N / A
333,14853,,2028.0,6.0,0.0,5.0,231.0,Item do not show,2021-05-17,Offered,
339,14972,,1340.0,,0.0,15.0,173.0,Payment processing,2021-06-05,Offered,
346,15257,,1812.0,,0.0,20.0,411.0,Cheating,2021-05-25,Offered,N / A
351,14980,,1656.0,,1.0,,135.0,Payment processing,2021-06-04,Offered,N / A
355,12668,,1248.0,,0.0,10.0,671.0,Item do not show,2021-06-11,Offered,
359,14657,,1519.0,3.0,0.0,8.0,171.0,Cheating,2021-05-16,Offered,N / A
365,13409,,1746.0,2.0,0.0,3.0,296.0,Item do not show,2021-07-26,Offered,
372,15032,,1548.0,3.0,0.0,2.0,165.0,Wrong password,2021-08-08,Offered,N / A
375,15302,,1695.0,,1.0,10.0,115.0,Payment processing,2021-08-23,Offered,
376,10825,,1666.0,4.0,0.0,4.0,753.0,Wrong password,2021-07-13,Offered,N / A
379,14933,,1548.0,,0.0,4.0,64.0,Payment processing,,Offered,
381,13443,,1777.0,4.0,0.0,17.0,,Wrong password,2021-07-05,Offered,N / A
383,12695,,1477.0,2.0,0.0,6.0,155.0,Payment processing,2021-08-03,Offered,
385,10623,,1400.0,3.0,0.0,5.0,18.0,Wrong password,2021-06-21,Offered,
390,15097,,1899.0,,0.0,12.0,,Payment processing,2021-08-07,Offered,
392,13729,,1646.0,3.0,0.0,9.0,353.0,Wrong password,2021-05-17,Offered,
399,14470,,1503.0,,0.0,14.0,34.0,Wrong password,2021-07-03,Offered,
400,11500,,1400.0,,0.0,21.0,625.0,Item do not show,2021-06-24,Offered,N / A
402,12624,,2003.0,2.0,0.0,8.0,149.0,Payment processing,2021-05-27,Offered,N / A
406,14347,,1336.0,2.0,0.0,5.0,266.0,Item do not show,2021-05-18,Offered,
411,11364,,1414.0,2.0,0.0,16.0,558.0,Wrong password,2021-07-16,Offered,
416,12112,,1359.0,,0.0,10.0,153.0,Payment processing,2021-05-22,Offered,
424,10905,,1531.0,3.0,0.0,5.0,159.0,Cheating,2021-07-07,Offered,N / A
429,11440,,1580.0,1.0,1.0,4.0,869.0,Wrong password,2021-05-21,Offered,N / A
430,15473,,1267.0,,0.0,7.0,240.0,Item do not show,2021-06-19,Offered,
433,14785,,1519.0,,0.0,4.0,194.0,Compromited account,2021-07-18,Offered,
442,15673,,1899.0,4.0,,,72.0,Wrong password,2021-06-05,Offered,N / A
444,14973,,1719.0,4.0,0.0,4.0,169.0,Payment processing,2021-08-04,Offered,N / A
445,15414,,1949.0,2.0,0.0,12.0,188.0,Item do not show,2021-07-30,Offered,N / A
446,15142,,1360.0,1.0,1.0,10.0,207.0,Item do not show,2021-07-05,Offered,
455,11872,,1519.0,3.0,0.0,4.0,110.0,Wrong password,2021-06-21,Offered,N / A
456,15581,,1455.0,2.0,0.0,5.0,989.0,Payment processing,2021-06-05,Offered,
457,15269,,1949.0,3.0,0.0,9.0,201.0,Payment processing,2021-06-30,Offered,
460,14867,,1435.0,,0.0,9.0,276.0,Wrong password,2021-07-01,Offered,
469,10531,,1646.0,2.0,0.0,24.0,766.0,Item do not show,2021-07-06,Offered,
471,12626,,1921.0,5.0,0.0,4.0,133.0,Compromited account,2021-08-10,Offered,
473,11086,,2003.0,2.0,0.0,13.0,562.0,Payment processing,2021-08-07,Offered,N / A
479,10780,,1427.0,3.0,0.0,5.0,261.0,Wrong password,2021-07-06,Offered,
481,11611,,1377.0,3.0,0.0,,721.0,Payment processing,,Offered,
484,14546,,1759.0,3.0,0.0,15.0,628.0,Compromited account,2021-05-16,Offered,
489,13974,,2003.0,5.0,,34.0,903.0,Wrong password,2021-05-11,Offered,N / A
490,13267,,1496.0,,0.0,16.0,590.0,Item do not show,2021-07-16,Offered,
493,10874,,1819.0,2.0,0.0,5.0,17.0,Payment processing,2021-07-25,Offered,N / A
