,ticket_number,resolution,agentid,cpc,firstcontactresolution,fullresolutiontime,replytime,problem,ticketcreationdate,satisfaction,comment,agent_startingdate,agent_country,agent_education,agent_daysonrole
0,13371,1.0,1412.0,3.0,0.0,7.0,239.0,Payment processing,,Good,eficient player mode,2019-10-08,Brazil,Law,
1,12480,1.0,1921.0,4.0,0.0,3.0,284.0,Item do not show,2021-05-27,Good,eficient item,2015-04-10,Brazil,Humanities,2239.0
2,15615,1.0,1377.0,2.0,0.0,29.0,1021.0,,2021-06-24,Bad,inefficient product,2015-06-18,Hungary,Engineering,2198.0
3,11106,1.0,1360.0,2.0,0.0,2.0,184.0,Item do not show,2021-06-15,Good,pleasant agent's communication,2017-12-26,Argentina,Law,1267.0
4,12483,1.0,1646.0,3.0,0.0,12.0,15.0,Wrong password,2021-08-20,Good,nicee resolution...,2017-06-14,Serbia,Language & Literature,1528.0
5,11027,1.0,1899.0,3.0,0.0,17.0,462.0,Payment processing,2021-06-02,Bad,lento ..... experiencia,2016-09-10,Honduras,Arts,1726.0
6,13804,1.0,1754.0,2.0,,5.0,167.0,Wrong password,2021-07-26,Good,comportamiento del agente satisfactorio,2018-12-08,Turkey,Humanities,961.0
7,13427,0.0,1438.0,1.0,1.0,2.0,694.0,Cheating,2021-05-16,Bad,Le comportement de l'agent inutile,2020-05-30,Honduras,Other,351.0
8,14362,1.0,1585.0,5.0,0.0,6.0,274.0,Wrong password,2021-06-15,Good,I like resolution,2014-01-19,Turkey,Language & Literature,2704.0
9,14215,1.0,1936.0,1.0,1.0,12.0,97.0,Payment processing,2021-07-25,Good,agent précis,2018-07-09,Honduras,Engineering,1112.0
10,10781,1.0,1360.0,2.0,0.0,12.0,184.0,Compromited account,2021-06-04,Good,reliable service,2017-12-26,Argentina,Law,1256.0
11,10429,1.0,1341.0,3.0,0.0,2.0,159.0,Wrong password,2021-07-23,Good,Comportement des agents nice,2016-03-16,Honduras,Other,1955.0
12,10741,1.0,1427.0,1.0,1.0,6.0,237.0,Payment processing,2021-06-21,Good,pleasant player mode,2016-02-17,Hungary,Engineering,1951.0
13,13314,1.0,1754.0,5.0,0.0,3.0,112.0,Wrong password,,Good,wonderful delivery.,2018-12-08,Turkey,Humanities,
14,13935,1.0,1496.0,1.0,1.0,6.0,124.0,Wrong password,2021-07-20,Good,precise resolution...,2018-06-23,United States,Humanities,1123.0
15,10453,1.0,1857.0,3.0,0.0,9.0,679.0,Item do not show,2021-08-07,Bad,slow solution,2014-05-07,Hungary,Design,2649.0
16,10367,0.0,1663.0,1.0,1.0,2.0,66.0,Compromited account,2021-06-07,Good,wonderful website,2020-05-20,United States,Engineering,383.0
17,13432,1.0,1411.0,1.0,1.0,5.0,184.0,Item do not show,2021-07-18,Good,efficient agent's communication,2016-12-29,Hungary,Economics,1662.0
18,12492,1.0,1583.0,7.0,0.0,14.0,179.0,Payment processing,2021-07-28,Good,wonderful player mode,2019-07-13,Hungary,Engineering,746.0
19,11646,1.0,1770.0,4.0,0.0,13.0,293.0,Item do not show,2021-06-15,Good,reliable agents behavior,2020-07-16,Hungary,Language & Literature,334.0
20,10415,1.0,1377.0,3.0,0.0,30.0,196.0,Item do not show,2021-07-25,Bad,inefficient agent's behavior,2015-06-18,Hungary,Engineering,2229.0
21,14403,1.0,1426.0,1.0,1.0,12.0,174.0,Wrong password,2021-06-01,Good,great delivery!!,2015-03-05,Hungary,Engineering,2280.0
22,15668,1.0,1337.0,3.0,0.0,,250.0,Payment processing,2021-06-13,Good,merveilleux agent,2014-02-09,Turkey,Law,2681.0
23,13644,1.0,1806.0,4.0,,10.0,34.0,Payment processing,2021-07-27,Good,¡Me gusta el producto!,2020-01-23,Turkey,Language & Literature,551.0
24,10251,1.0,1996.0,4.0,0.0,15.0,307.0,Wrong password,2021-06-29,Good,quick delivery.,2020-08-30,Portugal,Engineering,303.0
25,13805,1.0,1384.0,4.0,0.0,5.0,951.0,Payment processing,2021-05-30,Bad,N / A,2018-06-10,United States,Humanities,1085.0
26,12701,1.0,1535.0,3.0,0.0,10.0,700.0,Item do not show,2021-06-25,Bad,inefficient agent,2019-04-28,Spain,Law,789.0
27,10290,0.0,1759.0,2.0,0.0,20.0,724.0,Cheating,2021-06-01,Bad,unreliable... agent`s behavior,2019-05-15,Hungary,Humanities,748.0
28,14747,1.0,1390.0,4.0,0.0,17.0,641.0,Payment processing,2021-06-23,Bad,I don't like game,2019-09-22,Argentina,Engineering,640.0
29,12835,0.0,1710.0,2.0,0.0,3.0,21.0,Compromited account,2021-08-09,Good,"well done, experience",2019-05-10,Netherlands,Other,822.0
30,12779,1.0,1949.0,1.0,1.0,22.0,714.0,Wrong password,2021-07-31,Bad,unclear services,2017-01-22,Argentina,Humanities,1651.0
31,15221,1.0,1819.0,3.0,0.0,8.0,838.0,Item do not show,2021-07-07,Bad,N / A,2017-10-27,Spain,Economics,1349.0
32,11202,1.0,1571.0,1.0,1.0,,210.0,Wrong password,2021-07-02,Good,efficient delivery.,2014-12-16,Turkey,Language & Literature,2390.0
33,13583,1.0,1812.0,2.0,0.0,4.0,162.0,Payment processing,2021-07-16,Good,satisfactory resolution...,2019-07-18,Serbia,Other,729.0
34,11274,1.0,1435.0,7.0,0.0,6.0,780.0,Payment processing,,Bad,I dont like agents communication,2015-08-24,Serbia,Engineering,
35,13596,1.0,1360.0,5.0,0.0,9.0,356.0,Wrong password,2021-05-19,Bad,resolución poco clara,2017-12-26,Argentina,Law,1240.0
36,13085,1.0,1899.0,1.0,1.0,7.0,196.0,Payment processing,2021-05-11,Good,services efficaces,2016-09-10,Honduras,Arts,1704.0
37,15218,1.0,1746.0,4.0,0.0,11.0,163.0,Wrong password,2021-07-21,Good,Magnifique comportement des agents,2014-11-07,Honduras,Engineering,2448.0
38,10161,1.0,1377.0,2.0,0.0,5.0,,Payment processing,2021-07-01,Good,Produit sympae,2015-06-18,Hungary,Engineering,2205.0
39,15417,1.0,1531.0,2.0,0.0,21.0,670.0,Payment processing,2021-07-14,Bad,I do not like agent's behavior,2014-02-10,Serbia,Economics,2711.0
40,13597,1.0,1571.0,4.0,0.0,5.0,475.0,Payment processing,2021-07-02,Good,satisfactory resolution,2014-12-16,Turkey,Language & Literature,2390.0
41,13567,1.0,1921.0,2.0,0.0,4.0,249.0,Item do not show,2021-07-05,Good,fantastic game,2015-04-10,Brazil,Humanities,2278.0
42,13655,1.0,1426.0,3.0,0.0,8.0,777.0,Wrong password,2021-07-11,Bad,useless item,2015-03-05,Hungary,Engineering,2320.0
43,11531,1.0,1337.0,2.0,0.0,15.0,431.0,Cheating,2021-05-27,Bad,Communication des agents inutiles,2014-02-09,Turkey,Law,2664.0
44,11819,1.0,1817.0,2.0,0.0,3.0,108.0,Compromited account,,Good,efficient agent`s communication,2019-05-08,Argentina,Other,
45,12661,0.0,1384.0,2.0,0.0,9.0,,Compromited account,2021-07-02,Good,"buena solución,",2018-06-10,United States,Humanities,1118.0
46,13380,1.0,1646.0,4.0,0.0,3.0,803.0,Wrong password,2021-05-28,Bad,unreliable agent`s communication,2017-06-14,Serbia,Language & Literature,1444.0
47,12734,1.0,1857.0,1.0,,10.0,,Wrong password,2021-06-12,Good,"Bien hecho, agente",2014-05-07,Hungary,Design,2593.0
48,15553,1.0,1819.0,6.0,,14.0,,Wrong password,,Bad,Comportamiento del agente desagradable,2017-10-27,Spain,Economics,
49,10897,0.0,1781.0,3.0,0.0,22.0,537.0,Payment processing,2021-06-10,Bad,confusing agent's communication,2019-04-14,United States,Language & Literature,788.0
50,14690,1.0,1358.0,4.0,0.0,6.0,230.0,Payment processing,2021-07-21,Good,¡buen producto!,2015-06-24,Spain,Language & Literature,2219.0
51,10718,1.0,1583.0,2.0,0.0,17.0,666.0,Cheating,2021-07-18,Bad,Le comportement de l'agent décevant,2019-07-13,Hungary,Engineering,736.0
52,13985,1.0,1985.0,3.0,0.0,6.0,109.0,Wrong password,2021-05-11,Good,good experience,2016-11-21,Argentina,Humanities,1632.0
53,14118,1.0,1580.0,6.0,0.0,3.0,115.0,Payment processing,2021-06-26,Good,i like agents behavior,2020-03-05,Turkey,Engineering,478.0
54,12612,1.0,1377.0,2.0,0.0,13.0,705.0,Payment processing,2021-05-15,Bad,bad agents communication,2015-06-18,Hungary,Engineering,2158.0
55,14097,0.0,1340.0,1.0,1.0,7.0,630.0,Cheating,2021-07-13,Bad,Comportement de l'agent dur,2018-01-13,Spain,Language & Literature,1277.0
56,13866,1.0,1317.0,3.0,0.0,6.0,44.0,Wrong password,2021-08-23,Good,amazing! agent`s behavior,2014-11-15,Portugal,Life Sciences,2473.0
57,10309,1.0,1899.0,2.0,0.0,10.0,315.0,Payment processing,2021-07-07,Good,useful delivery,2016-09-10,Honduras,Arts,1761.0
58,12872,1.0,1663.0,2.0,0.0,18.0,,Wrong password,,Bad,,2020-05-20,United States,Engineering,
59,15216,0.0,1936.0,4.0,0.0,17.0,436.0,Wrong password,2021-07-04,Bad,unclear agents communication,2018-07-09,Honduras,Engineering,1091.0
60,11890,1.0,1781.0,1.0,1.0,3.0,141.0,Item do not show,2021-06-21,Bad,useless item,2019-04-14,United States,Language & Literature,799.0
61,12908,1.0,1726.0,2.0,0.0,2.0,1009.0,Wrong password,2021-07-03,Bad,slow career mode,2015-01-31,United States,Humanities,2345.0
62,14228,1.0,1522.0,6.0,0.0,9.0,358.0,Wrong password,2021-08-21,Good,modo profesional eficiente,2016-01-22,Brazil,Other,2038.0
63,14339,1.0,1400.0,3.0,0.0,15.0,523.0,Payment processing,2021-08-16,Bad,bad agent's behavior,2019-10-07,Argentina,IT,679.0
64,10262,1.0,1435.0,5.0,0.0,12.0,511.0,Item do not show,2021-07-12,Bad,I do not like agent's communication,2015-08-24,Serbia,Engineering,2149.0
