"Ticket_number","Resolution","AgentID","CPC","FirstContactResolution","FullResolutionTime","ReplyTime","Problem","TicketCreationDate","Satisfaction","Comment"
13371,1,1412,3,0,7,239,"Payment processing",NA,"Good","eficient player mode"
12525,NA,1532,7,0,3,504,"Wrong password",NA,"Offered",NA
12480,1,1921,4,0,3,284,"Item do not show","2021-05-27","Good","eficient item"
14764,NA,1535,2,0,11,1008,"Compromited account","2021-06-22","Offered",NA
14611,NA,1319,3,0,9,NA,NA,"2021-07-05","Offered","N / A"
15615,1,1377,2,0,29,1021,NA,"2021-06-24","Bad","inefficient product"
11106,1,1360,2,0,2,184,"Item do not show","2021-06-15","Good","pleasant agent's communication"
13614,NA,1336,2,0,8,NA,"Cheating","2021-05-21","Offered",NA
12483,1,1646,3,0,12,15,"Wrong password","2021-08-20","Good","nicee resolution..."
11027,1,1899,3,0,17,462,"Payment processing","2021-06-02","Bad","lento ..... experiencia"
10334,NA,1519,NA,0,5,18,"Item do not show","2021-07-02","Offered",NA
13804,1,1754,2,NA,5,167,"Wrong password","2021-07-26","Good","comportamiento del agente satisfactorio"
13427,0,1438,1,1,2,694,"Cheating","2021-05-16","Bad","Le comportement de l'agent inutile"
14362,1,1585,5,0,6,274,"Wrong password","2021-06-15","Good","I like resolution"
14215,1,1936,1,1,12,97,"Payment processing","2021-07-25","Good","agent précis"
13990,NA,2019,2,0,5,202,NA,"2021-08-14","Offered",NA
10781,1,1360,2,0,12,184,"Compromited account","2021-06-04","Good","reliable service"
10429,1,1341,3,0,2,159,"Wrong password","2021-07-23","Good","Comportement des agents nice"
10741,1,1427,1,1,6,237,"Payment processing","2021-06-21","Good","pleasant player mode"
15282,NA,1531,NA,NA,2,282,"Payment processing","2021-08-19","Offered","N / A"
13672,NA,1949,5,0,9,30,"Item do not show","2021-08-11","Offered",NA
13314,1,1754,5,0,3,112,"Wrong password",NA,"Good","wonderful delivery."
13935,1,1496,1,1,6,124,"Wrong password","2021-07-20","Good","precise resolution..."
10373,NA,1837,NA,0,2,99,"Wrong password","2021-06-21","Offered",NA
10453,1,1857,3,0,9,679,"Item do not show","2021-08-07","Bad","slow solution"
15617,NA,2028,4,0,5,272,"Item do not show","2021-06-01","Offered",NA
10367,0,1663,1,1,2,66,"Compromited account","2021-06-07","Good","wonderful website"
13432,1,1411,1,1,5,184,"Item do not show","2021-07-18","Good","efficient agent's communication"
12492,1,1583,7,0,14,179,"Payment processing","2021-07-28","Good","wonderful player mode"
11646,1,1770,4,0,13,293,"Item do not show","2021-06-15","Good","reliable agents behavior"
11513,NA,2028,NA,0,15,1082,"Payment processing","2021-07-16","Offered",NA
12001,NA,1566,5,0,11,929,"Wrong password","2021-06-07","Offered",NA
10415,1,1377,3,0,30,196,"Item do not show","2021-07-25","Bad","inefficient agent's behavior"
11672,NA,1585,2,NA,12,1033,"Wrong password","2021-07-15","Offered","N / A"
14403,1,1426,1,1,12,174,"Wrong password","2021-06-01","Good","great delivery!!"
15668,1,1337,3,0,NA,250,"Payment processing","2021-06-13","Good","merveilleux agent"
14604,NA,1548,1,1,12,779,"Payment processing","2021-07-15","Offered","N / A"
13644,1,1806,4,NA,10,34,"Payment processing","2021-07-27","Good","¡Me gusta el producto!"
10251,1,1996,4,0,15,307,"Wrong password","2021-06-29","Good","quick delivery."
13805,1,1384,4,0,5,951,"Payment processing","2021-05-30","Bad","N / A"
12701,1,1535,3,0,10,700,"Item do not show","2021-06-25","Bad","inefficient agent"
10290,0,1759,2,0,20,724,"Cheating","2021-06-01","Bad","unreliable... agent`s behavior"
14747,1,1390,4,0,17,641,"Payment processing","2021-06-23","Bad","I don't like game"
12835,0,1710,2,0,3,21,"Compromited account","2021-08-09","Good","well done, experience"
12779,1,1949,1,1,22,714,"Wrong password","2021-07-31","Bad","unclear services"
15221,1,1819,3,0,8,838,"Item do not show","2021-07-07","Bad","N / A"
11202,1,1571,1,1,NA,210,"Wrong password","2021-07-02","Good","efficient delivery."
13583,1,1812,2,0,4,162,"Payment processing","2021-07-16","Good","satisfactory resolution..."
11274,1,1435,7,0,6,780,"Payment processing",NA,"Bad","I dont like agents communication"
10512,NA,1571,4,0,3,188,"Compromited account","2021-08-14","Offered","N / A"
13596,1,1360,5,0,9,356,"Wrong password","2021-05-19","Bad","resolución poco clara"
13085,1,1899,1,1,7,196,"Payment processing","2021-05-11","Good","services efficaces"
14804,NA,1519,3,0,15,312,"Item do not show","2021-08-02","Offered","N / A"
15218,1,1746,4,0,11,163,"Wrong password","2021-07-21","Good","Magnifique comportement des agents"
10161,1,1377,2,0,5,NA,"Payment processing","2021-07-01","Good","Produit sympae"
15417,1,1531,2,0,21,670,"Payment processing","2021-07-14","Bad","I do not like agent's behavior"
13597,1,1571,4,0,5,475,"Payment processing","2021-07-02","Good","satisfactory resolution"
12043,NA,1337,4,0,15,674,"Payment processing","2021-05-26","Offered",NA
15332,NA,1726,1,1,12,516,"Cheating","2021-08-17","Offered",NA
13567,1,1921,2,0,4,249,"Item do not show","2021-07-05","Good","fantastic game"
13655,1,1426,3,0,8,777,"Wrong password","2021-07-11","Bad","useless item"
11531,1,1337,2,0,15,431,"Cheating","2021-05-27","Bad","Communication des agents inutiles"
11819,1,1817,2,0,3,108,"Compromited account",NA,"Good","efficient agent`s communication"
12661,0,1384,2,0,9,NA,"Compromited account","2021-07-02","Good","buena solución,"
10206,NA,1473,3,0,6,231,"Payment processing","2021-05-26","Offered","N / A"
13380,1,1646,4,0,3,803,"Wrong password","2021-05-28","Bad","unreliable agent`s communication"
11866,NA,1585,2,0,NA,NA,"Wrong password","2021-07-16","Offered","N / A"
10392,NA,1531,2,0,15,1014,"Payment processing",NA,"Offered","N / A"
14810,NA,1806,3,0,22,386,"Wrong password","2021-07-20","Offered",NA
12734,1,1857,1,NA,10,NA,"Wrong password","2021-06-12","Good","Bien hecho, agente"
14806,NA,1531,2,0,5,NA,"Wrong password","2021-06-26","Offered",NA
15553,1,1819,6,NA,14,NA,"Wrong password",NA,"Bad","Comportamiento del agente desagradable"
12039,NA,1648,4,0,6,133,"Item do not show","2021-08-18","Offered",NA
10897,0,1781,3,0,22,537,"Payment processing","2021-06-10","Bad","confusing agent's communication"
14690,1,1358,4,0,6,230,"Payment processing","2021-07-21","Good","¡buen producto!"
10718,1,1583,2,0,17,666,"Cheating","2021-07-18","Bad","Le comportement de l'agent décevant"
13985,1,1985,3,0,6,109,"Wrong password","2021-05-11","Good","good experience"
14118,1,1580,6,0,3,115,"Payment processing","2021-06-26","Good","i like agents behavior"
12612,1,1377,2,0,13,705,"Payment processing","2021-05-15","Bad","bad agents communication"
14097,0,1340,1,1,7,630,"Cheating","2021-07-13","Bad","Comportement de l'agent dur"
13866,1,1317,3,0,6,44,"Wrong password","2021-08-23","Good","amazing! agent`s behavior"
10309,1,1899,2,0,10,315,"Payment processing","2021-07-07","Good","useful delivery"
12872,1,1663,2,0,18,NA,"Wrong password",NA,"Bad",NA
13862,NA,1656,2,0,7,670,"Item do not show","2021-05-20","Offered","N / A"
15216,0,1936,4,0,17,436,"Wrong password","2021-07-04","Bad","unclear agents communication"
11890,1,1781,1,1,3,141,"Item do not show","2021-06-21","Bad","useless item"
14673,NA,1580,NA,0,11,210,"Payment processing","2021-05-11","Offered",NA
11466,NA,1656,5,0,10,50,"Wrong password","2021-06-09","Offered","N / A"
11249,NA,1812,2,0,5,252,"Item do not show","2021-06-20","Offered",NA
12908,1,1726,2,0,2,1009,"Wrong password","2021-07-03","Bad","slow career mode"
14228,1,1522,6,0,9,358,"Wrong password","2021-08-21","Good","modo profesional eficiente"
14339,1,1400,3,0,15,523,"Payment processing","2021-08-16","Bad","bad agent's behavior"
10262,1,1435,5,0,12,511,"Item do not show","2021-07-12","Bad","I do not like agent's communication"
14772,0,1267,3,0,2,679,"Cheating","2021-05-26","Bad",NA
11704,0,1985,2,0,9,609,NA,"2021-05-24","Bad","Slow ..... Service !!!"
12027,1,1336,4,0,7,847,"Payment processing","2021-05-12","Bad","unsatisfactory player mode"
13146,NA,1414,2,NA,7,435,"Payment processing","2021-08-01","Offered","N / A"
11135,1,1929,4,0,4,124,"Payment processing","2021-08-21","Good","Increíble servicio !!!"
11331,0,1648,1,1,9,608,"Compromited account","2021-07-06","Bad","unpleasant experience"
11743,1,1947,2,0,3,159,"Payment processing","2021-05-22","Good","i like game"
11072,1,1411,2,0,10,882,"Payment processing","2021-05-16","Bad","inefficient solution,"
10471,1,1341,5,NA,2,18,"Payment processing","2021-06-01","Good","Artículo increíble"
10640,1,1646,2,0,11,306,"Payment processing","2021-06-18","Bad","inefficient career mode"
15446,NA,1648,NA,1,NA,386,"Item do not show","2021-06-07","Offered",NA
14053,1,1648,2,0,5,127,"Wrong password","2021-05-24","Good","pleasant item"
